Token_Address,Num_Unique_Clusters,Global_Cluster_Percentage,Individual_Cluster_Percentages,Status,Status_Color
BLTHfX6stpJfMrdJQMUB5uPySgFHj9Y5ucAuHEQ5pump,0,0.00,N/A,CLEAN,GREEN
BLTHfX6stpJfMrdJQMUB5uPySgFHj9Y5ucAuHEQ5pump,0,0.00,N/A,CLEAN,GREEN
4oK88xk9iJwELMwT8yaKg6juivu4pWAjA54caVRypump,0,0.00,N/A,CLEAN,GREEN
25GaRa6eDhKaZq4HGbUiHzUt3uggTuqiYjyzar5npump,1,41.37,Rank#1_Direct:41.37%,RISKY,RED
8ZXHS5FitVeHJcMYnXn8Qs6kspVVLymtzPxn5es4pump,1,22.26,Rank#1_Direct:22.26%,RISKY,RED
7uotNWHEDcqXAQQr1FEQBJY1vvJnM6W757g9cZuRpump,1,30.24,Rank#1_Direct:30.24%,RISKY,RED
6miSixA26eZKRiSkdkuQtsKtdUYcpoB3LKckQ6jcpump,0,0.00,N/A,CLEAN,GREEN
8ZXHS5FitVeHJcMYnXn8Qs6kspVVLymtzPxn5es4pump,0,0.00,N/A,CLEAN,GREEN
eZFcbgeqyQd9fPSNLtrBhLDCdP4ySebMHeBUbkbpump,1,25.07,Rank#1_Direct:25.07%,RISKY,RED
C4ZKqN77JPR9z8rYY9JTtUQDx5b37mGiq1vYcHfNpump,0,0.00,N/A,CLEAN,GREEN
GBdjFpASX3dWH8oH87hcwG6ajoXvh8i6ib3N3wChpump,1,86.09,VisualCluster:86.09%,RISKY,RED
4GYEsFsYhsyyzUuvbnkpWtmzQrVcLbfyaR7MqDb4pump,1,8.17,Rank#1_Direct:8.17%,RISKY,RED
4zycgwJhBkPowLyZXnMtARxuUJPGs7vhdDaixws7pump,1,40.73,VisualCluster:40.73%,RISKY,RED
FaU9AWz49n6zMF9WrMKC4iWNzHA6QKadXo3GUZw5pump,1,27.01,VisualCluster:27.01%,RISKY,RED
FaU9AWz49n6zMF9WrMKC4iWNzHA6QKadXo3GUZw5pump,1,27.01,VisualCluster:27.01%,RISKY,RED
FaU9AWz49n6zMF9WrMKC4iWNzHA6QKadXo3GUZw5pump,1,27.01,VisualCluster:27.01%,RISKY,RED
48q5vs35LM9ZZVYRAfYYUSmZvxY7spg2e3y8J6fUpump,1,29.86,VisualCluster:29.86%,RISKY,RED
48q5vs35LM9ZZVYRAfYYUSmZvxY7spg2e3y8J6fUpump,1,29.86,VisualCluster:29.86%,RISKY,RED
48q5vs35LM9ZZVYRAfYYUSmZvxY7spg2e3y8J6fUpump,1,29.86,VisualCluster:29.86%,RISKY,RED
48q5vs35LM9ZZVYRAfYYUSmZvxY7spg2e3y8J6fUpump,1,29.86,VisualCluster:29.86%,RISKY,RED
FNShqjBBp9eq71D6ogYQA9u8J1EW8CKcLkWSyuRRpump,2,49.39,VisualCluster:41.36%; VisualCluster:8.03%,RISKY,RED
7vd1xczvYt3fytxzE44iZERTdTy5MmHp495XK6B9pump,1,44.44,VisualCluster:44.44%,RISKY,RED
5mULfKaPiqNLkpiWWRMN7GYSGhikvHUV4wBmKyRYMkCE,1,60.23,VisualCluster:60.23%,RISKY,RED
5mULfKaPiqNLkpiWWRMN7GYSGhikvHUV4wBmKyRYMkCE,1,60.23,VisualCluster:60.23%,RISKY,RED
fR3Vzc2DH5AB7QXkhz5Nyk9G6PVdxKgwk2LY4hhqex4,1,15.01,Rank#1_Direct:15.01%,RISKY,RED
E5WX4e6J9pAts4tcANKr6Uw2o4T9zd9GhCZp5xsopump,1,51.95,VisualCluster:51.95%,RISKY,RED
