"Address","Name","Price USD","Liquidity(1m)","Volume(1m)","1m Change","Open Chart","Snipe","Ghost Buyer","Global_Cluster_Percentage","Highest_Risk_Reason_Cluster","DexScreener_Pair_Address","DexScreener_Liquidity_USD","DexScreener_Token_Price_USD","DexScreener_Token_Name","LP_Percent_Supply","Cluster_Token_Amount_Est","Pool_Project_Token_Amount_Est","Dump_Risk_LP_vs_Cluster_Ratio","Price_Impact_Cluster_Sell_Percent","Overall_Risk_Status","Risk_Warning_Details"
"8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump","#RepTheSet","0.00009738","31191.23","96713.47","35.23","=HYPERLINK(""https://dexscreener.com/solana/8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump"",""Open Chart"")","","Yes","16.25","N/A","BLPnJb4z7w34i4uQKskETTD6zJBbhk1Rq82oWUh5C3Aj","7871.64","0.00000564","#RepTheSet","69.8460","162500000.00","698459627.33","23.27","34.19","High Risk","HighCluster(16.2% >= 10.0%); HighPriceImpact(34.2% >= 30.0%)"
"H5zLVRkfH1j21Aeda87u6jX7bckSytHD66HdxPWQpump","Usa vs Iran","0.00002657","16104.69","2426.08","35.15","=HYPERLINK(""https://dexscreener.com/solana/H5zLVRkfH1j21Aeda87u6jX7bckSytHD66HdxPWQpump"",""Open Chart"")","","Yes","29.23","N/A","682SswKET6FW7JJJyq4ruF36dCMskd57W6FBZeDWequK","19017.80","0.00003658","Usa vs Iran","25.9948","292300000.00","259948059.05","112.45","77.84","High Risk","HighCluster(29.2% >= 10.0%); HighDumpRisk(112.4x >= 25.0x); HighPriceImpact(77.8% >= 30.0%)"
"3tcFpsp1Kqr71ycieYfeC8uHZRAEo1P45JwC81qkpump","jojo","0.00050720","70291.93","60888.07","55.25","=HYPERLINK(""https://dexscreener.com/solana/3tcFpsp1Kqr71ycieYfeC8uHZRAEo1P45JwC81qkpump"",""Open Chart"")","","Yes","8.15","N/A","C1967ZdQxLoCbTtcQ7fbHZzDx4rdiAYAxja8aZfjoba2","7963.75","0.00000483","jojo","82.4234","81500000.00","824234113.02","9.89","17.19","Low Risk","None"
"AtSfnennv6EVi5wfYi4AjoRFAL8DPs5XzFKCxVXHpump","Unknown","0.00009295","30065.72","42202.14","27.89","=HYPERLINK(""https://dexscreener.com/solana/AtSfnennv6EVi5wfYi4AjoRFAL8DPs5XzFKCxVXHpump"",""Open Chart"")","","Yes","17.43","N/A","AcR2HDqjs18EYZRak9ZzqTKPkPuS1qSTE5mtsxFgiaEn","23278.51","0.00004957","did","23.4804","174300000.00","234804417.99","74.23","67.06","High Risk","HighCluster(17.4% >= 10.0%); HighDumpRisk(74.2x >= 25.0x); HighPriceImpact(67.1% >= 30.0%)"
"FiXj8J45Hh2e357bfaVVUSW3kqmpAEemdapRQNxBpump","PEACE THROUGH STRENGTH","0.00011460","33432.14","15999.75","39.28","=HYPERLINK(""https://dexscreener.com/solana/FiXj8J45Hh2e357bfaVVUSW3kqmpAEemdapRQNxBpump"",""Open Chart"")","","Yes","14.07","N/A","4FAvVYnhirYjUZr2q7dqYdhwf8ZmPBfiYd5qmWkxuFk8","17650.79","0.00002969","PEACE THROUGH STRENGTH","29.7251","140700000.00","297251431.46","47.33","53.93","High Risk","HighCluster(14.1% >= 10.0%); HighDumpRisk(47.3x >= 25.0x); HighPriceImpact(53.9% >= 30.0%)"
"9izsfm62akwsFz3kxEqZyd1XnBsWSg7y7yMtvK23pump","Moyom","0.00011240","33032.14","93128.23","95.99","=HYPERLINK(""https://dexscreener.com/solana/9izsfm62akwsFz3kxEqZyd1XnBsWSg7y7yMtvK23pump"",""Open Chart"")","","Yes","15.07","N/A","E9qutrxEKXkGLAiQVVTC5sBwr6d6a6hgcFYC6PZAH2Mr","13256.25","0.00001730","Moyom","38.3129","150700000.00","383128612.72","39.33","48.49","High Risk","HighCluster(15.1% >= 10.0%); HighDumpRisk(39.3x >= 25.0x); HighPriceImpact(48.5% >= 30.0%)"
"AWFmsUMzW7nM3wj7aYNz3LByAoLsDVw618xX6fMUpump","werld wur thwee","0.00006909","25793.36","45254.72","70.63","=HYPERLINK(""https://dexscreener.com/solana/AWFmsUMzW7nM3wj7aYNz3LByAoLsDVw618xX6fMUpump"",""Open Chart"")","","Yes","23.12","N/A","EArgFGpqUDCGSTpMvFMSCaMzNMU9yvVzuKHdiTAb3WWw","70879.07","0.00045500","werld wur thwee","7.7889","231200000.00","77889087.91","296.83","93.65","High Risk","HighCluster(23.1% >= 10.0%); HighDumpRisk(296.8x >= 25.0x); HighPriceImpact(93.6% >= 30.0%)"
"4mUSRtzuThkxscJwsoMvV7hUMSXeyzRbbAVa73zspump","Chill Bomb","0.00002210","14745.79","1174.02","20.57","=HYPERLINK(""https://dexscreener.com/solana/4mUSRtzuThkxscJwsoMvV7hUMSXeyzRbbAVa73zspump"",""Open Chart"")","","Yes","49.15","N/A","CgZKtMomWE62R2L6SBZRiPfGGLBctEY7pM8CbVFQXjwC","11672.02","0.00001389","Chill Bomb","42.0159","491500000.00","420159107.27","116.98","78.76","High Risk","HighCluster(49.1% >= 10.0%); HighDumpRisk(117.0x >= 25.0x); HighPriceImpact(78.8% >= 30.0%)"
"CpSpSEfqaQy2wkwbeUSCgnfQDe6gQ1d9NVoSyQ97xYpy","Donald J. Bush","0.00001294","11276.14","439.61","22.65","=HYPERLINK(""https://dexscreener.com/solana/CpSpSEfqaQy2wkwbeUSCgnfQDe6gQ1d9NVoSyQ97xYpy"",""Open Chart"")","","Yes","63.66","N/A","GQcXu2Ws8CQBwFNrXgjDVxfqpfQhKYdaHq96mGYWncBk","8506.27","0.00000726","Donald J. Bush","58.5589","636600000.00","585589288.17","108.71","77.04","High Risk","HighCluster(63.7% >= 10.0%); HighDumpRisk(108.7x >= 25.0x); HighPriceImpact(77.0% >= 30.0%)"
"DPUuz45t33MZmhY9WKxHf23kdU2HBChgqoeD8ivkV1yd","George W Trump","0.00022630","46812.51","64927.20","25.86","=HYPERLINK(""https://dexscreener.com/solana/DPUuz45t33MZmhY9WKxHf23kdU2HBChgqoeD8ivkV1yd"",""Open Chart"")","","Yes","10.96","N/A","DqnHxKdVryusG4FSjoB4njQpmrgXX4RW53ZnKFkMiY1e","5409.69","0.00000291","George W Trump","92.8862","109600000.00","928861607.14","11.80","19.99","High Risk","HighCluster(11.0% >= 10.0%)"
"BKjmWSxi6AFF92dLnVAzEV4jfpkQGR69qhjget8bpump","a safe investment","0.00008084","27789.20","8770.06","22.95","=HYPERLINK(""https://dexscreener.com/solana/BKjmWSxi6AFF92dLnVAzEV4jfpkQGR69qhjget8bpump"",""Open Chart"")","","Yes","16.90","N/A","2To3SJDK2TsVAbpBDgCygBNxRz9DmRtoz2HVyhVX81iv","27531.81","0.00007924","a safe investment","17.3724","169000000.00","173724192.33","97.28","74.31","High Risk","HighCluster(16.9% >= 10.0%); HighDumpRisk(97.3x >= 25.0x); HighPriceImpact(74.3% >= 30.0%)"
