Address,Name,Price USD,Liquidity(1m),Volume(1m),1m Change,Open Chart,Snipe,Ghost Buyer
CvXFXf1Y4iDPLD9JqmPdvueuuQZV6ERVtaQkBTAiovSG,PEACE COIN,0.00009957,31923.51,5322.60,6.03,"=HYPERLINK(""https://dexscreener.com/solana/CvXFXf1Y4iDPLD9JqmPdvueuuQZV6ERVtaQkBTAiovSG"",""Open Chart"")",,Yes
5prFPtTSxmYGSWDAiuei39SfzJaZR1e1fgsynBkxpump,GOR CHAIN,0.00002088,15002.87,219.76,1.02,"=HYPERLINK(""https://dexscreener.com/solana/5prFPtTSxmYGSWDAiuei39SfzJaZR1e1fgsynBkxpump"",""Open Chart"")",,Yes
3Y7uP2UhEE68dpyAmWfXc7biSQmQqQonCiyDp6KYpump,Retardmaxxing,0.00041450,68054.16,14225.54,21.16,"=HYPERLINK(""https://dexscreener.com/solana/3Y7uP2UhEE68dpyAmWfXc7biSQmQqQonCiyDp6KYpump"",""Open Chart"")",,Yes
HC5EmudSof4pMkcQJMLrpMAi2cV9TcMu5KKCoTQFpump,Sesame Street,0.00005595,23955.84,12156.47,7.82,"=HYPERLINK(""https://dexscreener.com/solana/HC5EmudSof4pMkcQJMLrpMAi2cV9TcMu5KKCoTQFpump"",""Open Chart"")",,Yes
3cwEBmbbWDgV4yPH2JQDxpwDsXLLWrwuWJeSF5FGpump,First Married Ai,0.00005031,23194.61,1197.05,11.35,"=HYPERLINK(""https://dexscreener.com/solana/3cwEBmbbWDgV4yPH2JQDxpwDsXLLWrwuWJeSF5FGpump"",""Open Chart"")",,Yes
8GVU8MsUhMZkUMLjouhJ2wL25fqEkJ9j16496Nmcpump,Dogue,0.00004924,22535.07,19391.16,13.77,"=HYPERLINK(""https://dexscreener.com/solana/8GVU8MsUhMZkUMLjouhJ2wL25fqEkJ9j16496Nmcpump"",""Open Chart"")",,Yes
5wJVGCUdNpnZQBL8MjT1fZ8qzypQbi1kYabVSfhRpump,Unknown,0.00011130,34455.79,10526.52,35.17,"=HYPERLINK(""https://dexscreener.com/solana/5wJVGCUdNpnZQBL8MjT1fZ8qzypQbi1kYabVSfhRpump"",""Open Chart"")",,Yes
CSg1gtcKDX3ynrCFnAvewzKkYsh8SF15WAV8DVcmpump,SECRET LEVEL,0.00009813,31765.59,25538.84,9.95,"=HYPERLINK(""https://dexscreener.com/solana/CSg1gtcKDX3ynrCFnAvewzKkYsh8SF15WAV8DVcmpump"",""Open Chart"")",,Yes
FS1jcuDGrazQb9psSXD4M6hrBXGYBWPVhDNNemqBpump,rapturecoin,0.00002090,14737.78,687.21,5.13,"=HYPERLINK(""https://dexscreener.com/solana/FS1jcuDGrazQb9psSXD4M6hrBXGYBWPVhDNNemqBpump"",""Open Chart"")",,Yes
9PqqDpNympbTSEvdnZ6ZNGcdbt5usn1rTgwBtaAZpump,solgamble,0.00002707,16793.60,155.61,2.34,"=HYPERLINK(""https://dexscreener.com/solana/9PqqDpNympbTSEvdnZ6ZNGcdbt5usn1rTgwBtaAZpump"",""Open Chart"")",,Yes
CJABJZf31heyAYjA7YH5KmpvWn5HnvWqQzmsLV8Lpump,Disassociate,0.00007102,27040.61,21805.70,17.52,"=HYPERLINK(""https://dexscreener.com/solana/CJABJZf31heyAYjA7YH5KmpvWn5HnvWqQzmsLV8Lpump"",""Open Chart"")",,Yes
76DnCGBAU6SrJPKbgmchUwZkmyo3igC6xW4P115rpump,United States Bitcoin,0.00006115,25077.32,17363.49,24.57,"=HYPERLINK(""https://dexscreener.com/solana/76DnCGBAU6SrJPKbgmchUwZkmyo3igC6xW4P115rpump"",""Open Chart"")",,Yes
ppkb4b1DSXcnRETLTeCCLV7nhkpqzPrwHejBHM6pump,Cut Or Quit,0.00013530,37588.27,16322.94,95.21,"=HYPERLINK(""https://dexscreener.com/solana/ppkb4b1DSXcnRETLTeCCLV7nhkpqzPrwHejBHM6pump"",""Open Chart"")",,Yes
124YRfTMJDY6PhxtX13rs9cf7vmENQv2hcMx75n5pump,Hyperbore DAO,0.00017010,41913.70,54409.04,26.28,"=HYPERLINK(""https://dexscreener.com/solana/124YRfTMJDY6PhxtX13rs9cf7vmENQv2hcMx75n5pump"",""Open Chart"")",,Yes
CysGfTUZkXoP9syVvzNBLQtqHManKqNitfXEp4Spump,Moonit University,0.00022550,48460.77,50234.23,62.93,"=HYPERLINK(""https://dexscreener.com/solana/CysGfTUZkXoP9syVvzNBLQtqHManKqNitfXEp4Spump"",""Open Chart"")",,Yes
